Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo
21149,IFK Mariehamn,23.10.2019 18.30.00,Veikkausliiga,1-0,2,Wiklöf Holding Arena,False,Away,Veikkausliiga 23.10.2019 18.30 IFK Mariehamn - HIFK 1-0     Wiklöf Holding Arena
6041,RoPS,19.10.2019 15.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 19.10.2019 15.00 HIFK - RoPS 2-0     Telia 5G Areena
6040,VPS,6.10.2019 16.00.00,Veikkausliiga,2-3,1,Elisa Stadion,False,Away,Veikkausliiga 06.10.2019 16.00 VPS - HIFK 2-3     Elisa Stadion
6039,FC Lahti,28.9.2019 14.00.00,Veikkausliiga,2-2,0,Lahden kisapuisto,False,Away,Veikkausliiga 28.09.2019 14.00 FC Lahti - HIFK 2-2     Lahden kisapuisto
6038,SJK,21.9.2019 18.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 21.09.2019 18.00 HIFK - SJK 2-0     Telia 5G Areena
6037,KPV,13.9.2019 18.30.00,Veikkausliiga,3-1,1,Telia 5G Areena,True,Home,Veikkausliiga 13.09.2019 18.30 HIFK - KPV 3-1     Telia 5G Areena
6036,VPS,31.8.2019 17.00.00,Veikkausliiga,3-2,2,Elisa Stadion,False,Away,Veikkausliiga 31.08.2019 17.00 VPS - HIFK 3-2     Elisa Stadion
6035,Ilves,27.8.2019 18.30.00,Veikkausliiga,3-1,2,Tammelan Stadion,False,Away,Veikkausliiga 27.08.2019 18.30 Ilves - HIFK 3-1     Tammelan Stadion
6034,Ilves,23.8.2019 18.30.00,Veikkausliiga,2-2,0,Telia 5G Areena,True,Home,Veikkausliiga 23.08.2019 18.30 HIFK - Ilves 2-2     Telia 5G Areena
6033,FC Inter,16.8.2019 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Away,Veikkausliiga 16.08.2019 18.30 FC Inter - HIFK 3-2     Veritas Stadion
6032,KPV,9.8.2019 18.30.00,Veikkausliiga,3-2,1,Telia 5G Areena,True,Home,Veikkausliiga 09.08.2019 18.30 HIFK - KPV 3-2     Telia 5G Areena
6031,KuPS,4.8.2019 17.00.00,Veikkausliiga,1-1,0,Savon Sanomat Areena,False,Away,Veikkausliiga 04.08.2019 17.00 KuPS - HIFK 1-1     Savon Sanomat Areena
6030,IFK Mariehamn,28.7.2019 17.00.00,Veikkausliiga,1-3,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 28.07.2019 17.00 IFK Mariehamn - HIFK 1-3     Wiklöf Holding Arena
6029,RoPS,21.7.2019 17.00.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,Home,Veikkausliiga 21.07.2019 17.00 HIFK - RoPS 1-0     Telia 5G Areena
6028,Esport Honka,13.7.2019 13.00.00,Veikkausliiga,3-0,2,Tapiolan urheilupuisto,False,Away,Veikkausliiga 13.07.2019 13.00 Esport Honka - HIFK 3-0     Tapiolan urheilupuisto
6027,HJK,4.7.2019 18.30.00,Veikkausliiga,0-2,2,Telia 5G Areena,True,Home,Veikkausliiga 04.07.2019 18.30 HIFK - HJK 0-2     Telia 5G Areena
6026,FC Lahti,30.6.2019 18.30.00,Veikkausliiga,0-0,0,Lahden kisapuisto,False,Away,Veikkausliiga 30.06.2019 18.30 FC Lahti - HIFK 0-0     Lahden kisapuisto
6025,SJK,18.6.2019 18.30.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,Home,Veikkausliiga 18.06.2019 18.30 HIFK - SJK 1-0     Telia 5G Areena
6024,VPS,31.5.2019 18.30.00,Veikkausliiga,2-1,1,Telia 5G Areena,True,Home,Veikkausliiga 31.05.2019 18.30 HIFK - VPS 2-1     Telia 5G Areena
6023,FC Inter,25.5.2019 17.00.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 25.05.2019 17.00 HIFK - FC Inter 1-1     Telia 5G Areena
6022,KPV,20.5.2019 18.30.00,Veikkausliiga,1-1,0,Kokkolan keskuskenttä,False,Away,Veikkausliiga 20.05.2019 18.30 KPV - HIFK 1-1     Kokkolan keskuskenttä
6021,KuPS,12.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 12.05.2019 18.30 HIFK - KuPS 1-1     Telia 5G Areena
6020,IFK Mariehamn,8.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 08.05.2019 18.30 HIFK - IFK Mariehamn 1-1     Telia 5G Areena
6019,RoPS,3.5.2019 18.30.00,Veikkausliiga,1-0,2,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 03.05.2019 18.30 RoPS - HIFK 1-0     Rovaniemen keskuskenttä
6018,Esport Honka,29.4.2019 18.30.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 29.04.2019 18.30 HIFK - Esport Honka 2-0     Telia 5G Areena
6017,HJK,23.4.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,False,Away,Veikkausliiga 23.04.2019 18.30 HJK - HIFK 1-1     Telia 5G Areena
6016,FC Lahti,15.4.2019 18.30.00,Veikkausliiga,0-1,2,Telia 5G Areena,True,Home,Veikkausliiga 15.04.2019 18.30 HIFK - FC Lahti 0-1     Telia 5G Areena
6015,SJK,6.4.2019 15.00.00,Veikkausliiga,1-0,2,OmaSp Stadion,False,Away,Veikkausliiga 06.04.2019 15.00 SJK - HIFK 1-0     OmaSp Stadion
18165,FC Lahti,28.10.2017 14.00.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 28.10.2017 14.00 FC Lahti - HIFK 2-1     Lahden kisapuisto
18164,SJK,20.10.2017 18.30.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 20.10.2017 18.30 HIFK - SJK 2-2     Bolt Arena
18163,FC Inter,16.10.2017 18.30.00,Veikkausliiga,4-1,2,Veritas Stadion,False,Away,Veikkausliiga 16.10.2017 18.30 FC Inter - HIFK 4-1     Veritas Stadion
18162,PS Kemi,12.10.2017 18.30.00,Veikkausliiga,4-0,1,Bolt Arena,True,Home,Veikkausliiga 12.10.2017 18.30 HIFK - PS Kemi 4-0     Bolt Arena
18161,VPS,29.9.2017 18.30.00,Veikkausliiga,1-2,1,Elisa Stadion,False,Away,Veikkausliiga 29.09.2017 18.30 VPS - HIFK 1-2     Elisa Stadion
18160,KuPS,24.9.2017 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,Away,Veikkausliiga 24.09.2017 18.30 KuPS - HIFK 3-2     Savon Sanomat Areena
18159,JJK,15.9.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 15.09.2017 18.30 HIFK - JJK 1-1     Bolt Arena
18158,HJK,12.9.2017 18.30.00,Veikkausliiga,2-1,2,Bolt Arena,False,Away,Veikkausliiga 12.09.2017 18.30 HJK - HIFK 2-1     Bolt Arena
18157,IFK Mariehamn,8.9.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 08.09.2017 18.30 HIFK - IFK Mariehamn 0-0     Bolt Arena
18156,Ilves,26.8.2017 17.00.00,Veikkausliiga,2-1,2,Tammelan Stadion,False,Away,Veikkausliiga 26.08.2017 17.00 Ilves - HIFK 2-1     Tammelan Stadion
18155,RoPS,19.8.2017 17.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 19.08.2017 17.00 HIFK - RoPS 1-0     Bolt Arena
18154,Ilves,14.8.2017 18.30.00,Veikkausliiga,4-3,2,Tammelan Stadion,False,Away,Veikkausliiga 14.08.2017 18.30 Ilves - HIFK 4-3     Tammelan Stadion
18153,VPS,9.8.2017 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 09.08.2017 18.30 HIFK - VPS 2-1     Bolt Arena
18152,FC Inter,4.8.2017 18.30.00,Veikkausliiga,3-0,2,Veritas Stadion,False,Away,Veikkausliiga 04.08.2017 18.30 FC Inter - HIFK 3-0     Veritas Stadion
18151,HJK,31.7.2017 18.30.00,Veikkausliiga,2-0,2,Bolt Arena,False,Away,Veikkausliiga 31.07.2017 18.30 HJK - HIFK 2-0     Bolt Arena
18150,IFK Mariehamn,22.7.2017 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,Away,Veikkausliiga 22.07.2017 16.00 IFK Mariehamn - HIFK 1-1     Wiklöf Holding Arena
18149,KuPS,17.7.2017 18.30.00,Veikkausliiga,1-4,2,Bolt Arena,True,Home,Veikkausliiga 17.07.2017 18.30 HIFK - KuPS 1-4     Bolt Arena
17165,RoPS,8.7.2017 17.00.00,Veikkausliiga,2-2,0,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 08.07.2017 17.00 RoPS - HIFK 2-2     Rovaniemen keskuskenttä
17163,FC Lahti,27.6.2017 18.30.00,Veikkausliiga,4-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 27.06.2017 18.30 FC Lahti - HIFK 4-1     Lahden kisapuisto
17162,JJK,21.6.2017 18.30.00,Veikkausliiga,0-3,1,Harjun stadion,False,Away,Veikkausliiga 21.06.2017 18.30 JJK - HIFK 0-3     Harjun stadion
17161,PS Kemi,17.6.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 17.06.2017 15.00 HIFK - PS Kemi 0-2     Bolt Arena
17160,SJK,14.6.2017 18.30.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 14.06.2017 18.30 HIFK - SJK 0-2     Bolt Arena
17159,Ilves,4.6.2017 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 04.06.2017 18.30 HIFK - Ilves 0-1     Bolt Arena
17158,VPS,31.5.2017 18.30.00,Veikkausliiga,1-1,0,Elisa Stadion,False,Away,Veikkausliiga 31.05.2017 18.30 VPS - HIFK 1-1     Elisa Stadion
17157,FC Inter,27.5.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 27.05.2017 15.00 HIFK - FC Inter 0-2     Bolt Arena
17156,HJK,23.5.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 23.05.2017 18.30 HIFK - HJK 0-0     Bolt Arena
17155,IFK Mariehamn,19.5.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 19.05.2017 18.30 HIFK - IFK Mariehamn 1-1     Bolt Arena
17154,KuPS,12.5.2017 18.30.00,Veikkausliiga,2-1,2,Savon Sanomat Areena,False,Away,Veikkausliiga 12.05.2017 18.30 KuPS - HIFK 2-1     Savon Sanomat Areena
17153,RoPS,6.5.2017 18.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 06.05.2017 18.00 HIFK - RoPS 1-0     Bolt Arena
17152,SJK,28.4.2017 20.00.00,Veikkausliiga,3-3,0,OmaSp Stadion,False,Away,Veikkausliiga 28.04.2017 20.00 SJK - HIFK 3-3     OmaSp Stadion
17151,FC Lahti,24.4.2017 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Home,Veikkausliiga 24.04.2017 18.30 HIFK - FC Lahti 1-2     Bolt Arena
17150,JJK,15.4.2017 16.00.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 15.04.2017 16.00 HIFK - JJK 0-0     Bolt Arena
17149,PS Kemi,8.4.2017 16.00.00,Veikkausliiga,0-0,0,Sauvosaaren urheilupuisto,False,Away,Veikkausliiga 08.04.2017 16.00 PS Kemi - HIFK 0-0     Sauvosaaren urheilupuisto
16127,RoPS,23.10.2016 15.00.00,Veikkausliiga,0-0,0,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 23.10.2016 15.00 RoPS - HIFK 0-0     Rovaniemen keskuskenttä
16126,KuPS,17.10.2016 18.30.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 17.10.2016 18.30 HIFK - KuPS 0-2     Bolt Arena
16125,Ilves,14.10.2016 18.30.00,Veikkausliiga,1-1,0,Tammelan Stadion,False,Away,Veikkausliiga 14.10.2016 18.30 Ilves - HIFK 1-1     Tammelan Stadion
16124,HJK,30.9.2016 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 30.09.2016 18.30 HIFK - HJK 2-1     Bolt Arena
16123,FC Lahti,26.9.2016 18.30.00,Veikkausliiga,0-0,0,Lahden kisapuisto,False,Away,Veikkausliiga 26.09.2016 18.30 FC Lahti - HIFK 0-0     Lahden kisapuisto
16122,PK-35 Vantaa,20.9.2016 18.30.00,Veikkausliiga,0-2,1,Myyrmäen jalkapallostasion,False,Away,Veikkausliiga 20.09.2016 18.30 PK-35 Vantaa - HIFK 0-2     Myyrmäen jalkapallostasion
16121,PS Kemi,16.9.2016 18.30.00,Veikkausliiga,3-1,1,Bolt Arena,True,Home,Veikkausliiga 16.09.2016 18.30 HIFK - PS Kemi 3-1     Bolt Arena
16120,FC Inter,12.9.2016 18.30.00,Veikkausliiga,0-0,0,Veritas Stadion,False,Away,Veikkausliiga 12.09.2016 18.30 FC Inter - HIFK 0-0     Veritas Stadion
16118,VPS,9.9.2016 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 09.09.2016 18.30 HIFK - VPS 0-1     Bolt Arena
16119,SJK,27.8.2016 16.00.00,Veikkausliiga,3-1,1,Bolt Arena,True,Home,Veikkausliiga 27.08.2016 16.00 HIFK - SJK 3-1     Bolt Arena
16114,IFK Mariehamn,21.8.2016 18.30.00,Veikkausliiga,1-0,2,Wiklöf Holding Arena,False,Away,Veikkausliiga 21.08.2016 18.30 IFK Mariehamn - HIFK 1-0     Wiklöf Holding Arena
16113,Ilves,13.8.2016 16.00.00,Veikkausliiga,3-1,2,Tammelan Stadion,False,Away,Veikkausliiga 13.08.2016 16.00 Ilves - HIFK 3-1     Tammelan Stadion
16112,HJK,10.8.2016 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 10.08.2016 18.30 HIFK - HJK 0-0     Bolt Arena
16111,IFK Mariehamn,7.8.2016 18.30.00,Veikkausliiga,2-5,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 07.08.2016 18.30 IFK Mariehamn - HIFK 2-5     Wiklöf Holding Arena
16110,SJK,30.7.2016 16.00.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 30.07.2016 16.00 HIFK - SJK 1-1     Bolt Arena
16109,RoPS,24.7.2016 18.30.00,Veikkausliiga,1-0,2,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 24.07.2016 18.30 RoPS - HIFK 1-0     Rovaniemen keskuskenttä
16108,VPS,18.7.2016 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 18.07.2016 18.30 HIFK - VPS 0-1     Bolt Arena
16107,KuPS,10.7.2016 17.00.00,Veikkausliiga,1-0,2,Savon Sanomat Areena,False,Away,Veikkausliiga 10.07.2016 17.00 KuPS - HIFK 1-0     Savon Sanomat Areena
16106,PS Kemi,3.7.2016 18.30.00,Veikkausliiga,1-2,1,Sauvosaaren urheilupuisto,False,Away,Veikkausliiga 03.07.2016 18.30 PS Kemi - HIFK 1-2     Sauvosaaren urheilupuisto
16105,FC Lahti,18.6.2016 13.30.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 18.06.2016 13.30 HIFK - FC Lahti 2-2     Bolt Arena
16104,FC Inter,12.6.2016 13.30.00,Veikkausliiga,1-0,2,Veritas Stadion,False,Away,Veikkausliiga 12.06.2016 13.30 FC Inter - HIFK 1-0     Veritas Stadion
16103,PK-35 Vantaa,9.6.2016 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Home,Veikkausliiga 09.06.2016 18.30 HIFK - PK-35 Vantaa 1-2     Bolt Arena
16102,Ilves,29.5.2016 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 29.05.2016 18.30 HIFK - Ilves 0-1     Bolt Arena
16101,HJK,26.5.2016 18.30.00,Veikkausliiga,2-1,2,Bolt Arena,False,Away,Veikkausliiga 26.05.2016 18.30 HJK - HIFK 2-1     Bolt Arena
16100,IFK Mariehamn,20.5.2016 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 20.05.2016 18.30 HIFK - IFK Mariehamn 0-1     Bolt Arena
16099,SJK,14.5.2016 16.00.00,Veikkausliiga,2-1,2,OmaSp Stadion,False,Away,Veikkausliiga 14.05.2016 16.00 SJK - HIFK 2-1     OmaSp Stadion
16098,RoPS,9.5.2016 18.00.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 09.05.2016 18.00 HIFK - RoPS 1-1     Bolt Arena
16097,VPS,4.5.2016 18.30.00,Veikkausliiga,3-1,2,Elisa Stadion,False,Away,Veikkausliiga 04.05.2016 18.30 VPS - HIFK 3-1     Elisa Stadion
16096,KuPS,28.4.2016 18.30.00,Veikkausliiga,3-2,1,Bolt Arena,True,Home,Veikkausliiga 28.04.2016 18.30 HIFK - KuPS 3-2     Bolt Arena
16095,PS Kemi,25.4.2016 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 25.04.2016 18.30 HIFK - PS Kemi 0-0     Bolt Arena
16094,FC Lahti,18.4.2016 18.30.00,Veikkausliiga,2-2,0,Lahden kisapuisto,False,Away,Veikkausliiga 18.04.2016 18.30 FC Lahti - HIFK 2-2     Lahden kisapuisto
16093,FC Inter,14.4.2016 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Home,Veikkausliiga 14.04.2016 18.30 HIFK - FC Inter 1-2     Bolt Arena
16092,PK-35 Vantaa,9.4.2016 16.00.00,Veikkausliiga,0-2,1,Myyrmäen jalkapallostasion,False,Away,Veikkausliiga 09.04.2016 16.00 PK-35 Vantaa - HIFK 0-2     Myyrmäen jalkapallostasion
16091,FC Inter,25.10.2015 13.00.00,Veikkausliiga,2-0,1,Bolt Arena,True,Home,Veikkausliiga 25.10.2015 13.00 HIFK - FC Inter 2-0     Bolt Arena
16090,Ilves,18.10.2015 18.30.00,Veikkausliiga,1-3,1,Tammelan Stadion,False,Away,Veikkausliiga 18.10.2015 18.30 Ilves - HIFK 1-3     Tammelan Stadion
16089,FC Lahti,15.10.2015 18.30.00,Veikkausliiga,3-3,0,Bolt Arena,True,Home,Veikkausliiga 15.10.2015 18.30 HIFK - FC Lahti 3-3     Bolt Arena
20149,KTP,4.10.2015 15.00.00,Veikkausliiga,1-0,2,Arto Tolsa Areena,False,Away,Veikkausliiga 04.10.2015 15.00 KTP - HIFK 1-0     Arto Tolsa Areena
16087,SJK,28.9.2015 18.30.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 28.09.2015 18.30 HIFK - SJK 1-0     Bolt Arena
16086,KTP,23.9.2015 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 23.09.2015 18.30 HIFK - KTP 0-0     Bolt Arena
16085,FC Lahti,20.9.2015 18.30.00,Veikkausliiga,0-5,1,Lahden kisapuisto,False,Away,Veikkausliiga 20.09.2015 18.30 FC Lahti - HIFK 0-5     Lahden kisapuisto
16084,VPS,17.9.2015 18.30.00,Veikkausliiga,0-3,2,Bolt Arena,True,Home,Veikkausliiga 17.09.2015 18.30 HIFK - VPS 0-3     Bolt Arena
16083,KuPS,14.9.2015 18.30.00,Veikkausliiga,1-3,2,Bolt Arena,True,Home,Veikkausliiga 14.09.2015 18.30 HIFK - KuPS 1-3     Bolt Arena
16082,IFK Mariehamn,10.9.2015 18.30.00,Veikkausliiga,1-0,2,Wiklöf Holding Arena,False,Away,Veikkausliiga 10.09.2015 18.30 IFK Mariehamn - HIFK 1-0     Wiklöf Holding Arena
16081,VPS,30.8.2015 18.30.00,Veikkausliiga,3-0,1,Bolt Arena,True,Home,Veikkausliiga 30.08.2015 18.30 HIFK - VPS 3-0     Bolt Arena
16080,HJK,24.8.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,False,Away,Veikkausliiga 24.08.2015 18.30 HJK - HIFK 1-1     Bolt Arena
16079,RoPS,17.8.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 17.08.2015 18.30 HIFK - RoPS 1-1     Bolt Arena
16078,KuPS,9.8.2015 16.00.00,Veikkausliiga,2-0,2,Savon Sanomat Areena,False,Away,Veikkausliiga 09.08.2015 16.00 KuPS - HIFK 2-0     Savon Sanomat Areena
16077,Ilves,1.8.2015 16.00.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 01.08.2015 16.00 HIFK - Ilves 2-2     Bolt Arena
16076,FF Jaro,25.7.2015 16.00.00,Veikkausliiga,0-2,1,Pietarsaaren keskuskenttä,False,Away,Veikkausliiga 25.07.2015 16.00 FF Jaro - HIFK 0-2     Pietarsaaren keskuskenttä
16075,SJK,19.7.2015 18.30.00,Veikkausliiga,4-1,2,OmaSp Stadion,False,Away,Veikkausliiga 19.07.2015 18.30 SJK - HIFK 4-1     OmaSp Stadion
16074,HJK,6.7.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,False,Away,Veikkausliiga 06.07.2015 18.30 HJK - HIFK 1-1     Bolt Arena
16073,IFK Mariehamn,28.6.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 28.06.2015 18.30 HIFK - IFK Mariehamn 1-1     Bolt Arena
16072,VPS,25.6.2015 18.30.00,Veikkausliiga,0-2,1,Elisa Stadion,False,Away,Veikkausliiga 25.06.2015 18.30 VPS - HIFK 0-2     Elisa Stadion
16071,FC Inter,22.6.2015 18.30.00,Veikkausliiga,3-1,2,Veritas Stadion,False,Away,Veikkausliiga 22.06.2015 18.30 FC Inter - HIFK 3-1     Veritas Stadion
16070,RoPS,16.6.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 16.06.2015 18.30 HIFK - RoPS 1-1     Bolt Arena
16069,FF Jaro,7.6.2015 14.00.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 07.06.2015 14.00 HIFK - FF Jaro 0-0     Bolt Arena
16068,FC Lahti,3.6.2015 18.30.00,Veikkausliiga,2-0,2,Lahden kisapuisto,False,Away,Veikkausliiga 03.06.2015 18.30 FC Lahti - HIFK 2-0     Lahden kisapuisto
16067,KuPS,25.5.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 25.05.2015 18.30 HIFK - KuPS 1-1     Bolt Arena
16066,KTP,21.5.2015 18.30.00,Veikkausliiga,1-2,1,Arto Tolsa Areena,False,Away,Veikkausliiga 21.05.2015 18.30 KTP - HIFK 1-2     Arto Tolsa Areena
16065,FF Jaro,17.5.2015 17.00.00,Veikkausliiga,3-2,1,Bolt Arena,True,Home,Veikkausliiga 17.05.2015 17.00 HIFK - FF Jaro 3-2     Bolt Arena
16064,Ilves,14.5.2015 14.00.00,Veikkausliiga,1-1,0,Tammelan Stadion,False,Away,Veikkausliiga 14.05.2015 14.00 Ilves - HIFK 1-1     Tammelan Stadion
16063,FC Inter,8.5.2015 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 08.05.2015 18.30 HIFK - FC Inter 2-1     Bolt Arena
16062,SJK,3.5.2015 16.00.00,Veikkausliiga,2-0,2,OmaSp Stadion,False,Away,Veikkausliiga 03.05.2015 16.00 SJK - HIFK 2-0     OmaSp Stadion
16061,RoPS,29.4.2015 18.30.00,Veikkausliiga,2-0,2,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 29.04.2015 18.30 RoPS - HIFK 2-0     Rovaniemen keskuskenttä
16060,HJK,23.4.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 23.04.2015 18.30 HIFK - HJK 1-1     Bolt Arena
16059,IFK Mariehamn,19.4.2015 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,Away,Veikkausliiga 19.04.2015 16.00 IFK Mariehamn - HIFK 1-1     Wiklöf Holding Arena
