Id;GameId;Score;Winner;PlayerId;AssistId;Penalty;Minute
38;16145;0-1;1;1020;1011;0;68
39;16148;1-0;0;1021;NULL;0;27
40;16148;2.tammi;1;1021;2022;0;96
41;6017;1.tammi;0;1016;1;0;65
42;6018;1-0;1;12023;NULL;0;58
43;6018;2-0;0;15034;NULL;0;79
44;6020;1-0;0;1016;15027;0;44
45;6021;1-0;0;15034;1016;0;36
46;6022;0-1;0;1008;NULL;0;41
47;6023;1-0;0;1016;1005;0;22
48;6024;1-0;0;1;1016;0;31
49;6024;2-0;1;1007;NULL;0;80
50;9056;0-1;1;1016;10023;0;12
51;9056;0-2;0;11023;NULL;0;54
52;9056;0-3;0;1012;NULL;0;58
53;6025;1-0;1;15034;NULL;0;8
54;6029;1-0;1;1020;10023;0;23
1044;6030;0-1;0;1020;1008;0;2
1045;6030;1.helmi;1;10023;NULL;0;60
1046;6030;1.maalis;0;1016;1012;0;93
1047;6031;0-1;0;1012;15025;0;7
1048;6032;1.helmi;0;1016;10023;0;63
1049;6032;2.helmi;0;1016;1011;0;70
1050;6032;3.helmi;1;10023;1016;0;72
2044;6033;0-1;0;15039;NULL;0;1
2045;6033;1.helmi;0;1011;NULL;0;12
3044;6034;1.tammi;0;12023;10023;0;10
3045;6034;2.tammi;0;10023;1011;0;59
3046;6035;0-1;0;1020;NULL;0;54
3047;6036;0-1;0;10023;NULL;1;37
3048;6036;3.helmi;0;1020;1016;0;92
4044;6037;1-0;0;10023;1017;0;60
4045;6037;2.tammi;1;10023;NULL;0;73
4046;6037;3.tammi;0;1016;1005;0;94
4047;6038;1-0;1;10023;NULL;0;16
4048;6038;2-0;0;10023;1016;0;29
4049;6039;1.tammi;0;12023;1016;0;49
4050;6039;1.helmi;0;1012;1009;0;70
4051;6040;1.tammi;0;1016;NULL;0;58
4052;6040;1.helmi;0;1016;NULL;0;72
4053;6040;2.maalis;1;1016;NULL;0;87
4054;6041;1-0;1;1020;1013;0;21
4055;6041;2-0;0;12023;NULL;0;51
4056;9057;0-1;0;1021;11023;0;10
4057;9057;2.helmi;0;10023;NULL;1;52
5054;16149;0-1;0;1016;NULL;0;6
5055;16150;1.helmi;0;1016;NULL;1;85
6054;9058;0-1;1;11024;1016;0;55
6055;9058;0-2;0;1016;NULL;0;93
6056;16152;1.tammi;0;10023;NULL;1;69
6057;16153;0-1;0;1016;1020;0;49
6058;16153;0-2;0;1;12023;0;66
7054;6050;1-0;0;12023;NULL;0;5
7055;6049;1.tammi;0;1017;NULL;0;23
7056;6048;2.tammi;0;15027;NULL;0;75
8054;16059;1.tammi;0;16046;NULL;0;47
8055;16060;1.tammi;0;21059;NULL;1;23
9054;16063;1-0;0;21061;NULL;0;32
9055;16063;2.tammi;1;16047;21055;0;92
9056;16064;1.tammi;0;1;NULL;0;73
9057;16065;1-0;0;16045;NULL;0;1
9058;16065;2-0;0;16041;NULL;0;37
9059;16065;3.helmi;1;16045;NULL;0;86
9060;16066;1.tammi;0;21060;NULL;0;11
9061;16066;1.helmi;1;1011;NULL;0;89
9062;16067;1.tammi;0;16045;NULL;0;86
10054;16070;1-0;0;21051;NULL;0;27
11054;16071;2.tammi;0;21055;NULL;0;49
11055;16072;0-1;1;21059;NULL;1;82
11056;16072;0-2;0;21064;NULL;0;84
11057;16073;1-0;0;21064;NULL;0;68
11058;16074;1.tammi;0;16050;NULL;0;86
11059;16075;4.tammi;0;1;NULL;0;72
12054;12053;1-0;1;1012;12023;0;56
12055;12053;2-0;0;1011;NULL;0;90
12056;16076;0-1;1;16046;NULL;0;3
12057;16076;0-2;0;16045;NULL;0;80
12058;16077;1-0;0;21061;NULL;0;57
12059;16077;2-0;0;16045;NULL;0;69
12060;16079;1.tammi;0;21060;NULL;0;80
12061;16080;1.tammi;0;21058;NULL;0;58
12062;16081;1-0;1;16045;NULL;0;61
12063;16081;2-0;0;16045;NULL;0;80
12064;16081;3-0;0;21044;NULL;0;93
13054;16083;1.maalis;0;21060;NULL;0;62
13055;16085;0-1;1;21061;NULL;0;8
13056;16085;0-2;0;21060;NULL;0;14
13057;16085;0-3;0;16046;NULL;0;33
13058;16085;0-4;0;16041;NULL;0;60
13059;16085;0-5;0;16045;NULL;0;73
13060;16087;1-0;1;21059;NULL;0;38
13061;16089;1-0;0;16041;NULL;0;26
13062;16089;2.tammi;0;16041;NULL;0;48
13063;16089;3.tammi;0;21053;NULL;0;55
13064;16090;0-1;0;21057;NULL;0;10
13065;16090;0-2;1;21060;NULL;0;49
13066;16090;0-3;0;21060;NULL;0;58
13067;16091;1-0;1;21065;NULL;0;12
13068;16091;2-0;0;16045;NULL;0;34
14055;16092;0-1;1;21040;NULL;0;3
14056;16092;0-2;0;1011;NULL;0;73
14057;16093;1.tammi;0;21060;1011;0;55
14058;16094;1.tammi;0;21040;NULL;0;20
14059;16094;2.helmi;0;21041;NULL;0;94
14060;16096;1-0;0;21053;21058;0;9
14061;16096;2-0;0;21040;16045;0;30
14062;16096;3-0;1;21040;21059;0;45
14063;16097;1.tammi;0;16045;21059;0;13
15055;16098;1-0;0;21059;NULL;0;12
16055;16099;1.tammi;0;21040;NULL;1;79
17055;16101;1.tammi;0;16046;NULL;0;5
17056;16103;1.helmi;0;21060;14023;0;53
17057;16105;1-0;0;16046;21059;0;38
17058;16105;2.tammi;0;14023;NULL;0;66
17059;16106;0-1;0;16050;NULL;0;38
17060;16106;1.helmi;1;16050;NULL;0;55
18055;16110;1.tammi;0;21060;21051;0;19
18056;16111;0-1;0;16045;21044;0;10
18057;16111;0-2;0;21060;16045;0;22
18058;16111;2.maalis;1;16045;14023;0;54
18059;16111;2.huhti;0;21060;NULL;0;79
18060;16111;2.touko;0;16045;21061;0;90
18061;16113;1.tammi;0;16045;21044;0;46
18062;16119;1-0;0;16045;21043;0;24
18063;16119;2.tammi;1;1011;21040;0;87
18064;16119;3.tammi;0;21060;21040;0;88
18065;16121;1-0;0;21042;21040;0;19
18066;16121;2-0;1;16047;21043;0;55
18067;16121;3.tammi;0;21040;1011;0;88
18068;16122;0-1;1;21040;NULL;0;43
18069;16122;0-2;0;16045;NULL;0;90
19055;16124;1-0;0;21040;21044;0;33
19056;16124;2-0;1;16045;21060;0;73
19057;16125;0-1;0;21044;NULL;0;59
19058;17151;1.tammi;0;15027;21044;0;58
19059;17152;0-1;0;16045;NULL;0;29
19060;17152;0-2;0;16045;16050;0;52
19061;17152;1.maalis;0;16045;16046;0;79
19062;17153;1-0;1;24066;21044;0;32
20058;17154;0-1;0;15027;14023;0;65
20059;17155;1.tammi;0;14023;21042;0;30
20060;17158;0-1;0;16045;NULL;0;88
20061;17162;0-1;1;16047;1;0;60
20062;17162;0-2;0;15027;16045;0;65
20063;17162;0-3;0;24066;NULL;1;73
20064;17163;2.tammi;0;24066;1011;0;26
21058;17165;1.tammi;0;24066;NULL;0;10
21059;17165;1.helmi;0;16045;NULL;0;45
21060;18149;1.maalis;0;24066;21043;0;64
21061;18150;0-1;0;1;21040;0;45
21062;18153;1.tammi;0;1;NULL;0;66
21063;18153;2.tammi;1;24066;16045;0;73
21064;18154;0-1;0;16045;21044;0;8
21065;18154;1.helmi;0;15027;NULL;0;60
21066;18154;4.maalis;0;21040;NULL;0;93
21067;18155;1-0;1;16045;21046;0;58
21068;18156;0-1;0;21040;NULL;0;27
21069;18158;1.tammi;0;21042;NULL;0;61
21070;18159;1-0;0;1;24066;0;27
21071;18160;0-1;0;21040;16045;0;66
21072;18160;1.helmi;0;1011;15027;0;62
21073;18161;1.tammi;0;16045;NULL;0;50
21074;18161;1.helmi;1;21040;NULL;0;54
21075;18162;1-0;1;21040;1;0;5
21076;18162;2-0;0;21042;1;0;7
21077;18162;3-0;0;21040;15027;0;22
21078;18162;4-0;0;21042;NULL;0;47
21079;18163;0-1;0;16045;NULL;0;27
21080;18164;1.helmi;0;24066;21044;0;82
21081;18164;2.helmi;0;24066;16046;0;93
21082;18165;1.tammi;0;16045;21043;0;32
21083;11053;1.tammi;0;10023;2022;0;35
21084;11053;2.helmi;0;10023;11023;0;74
21085;18167;1.tammi;0;16045;NULL;0;94
21086;19149;1.tammi;0;16045;NULL;1;37
21087;19149;1.helmi;1;16051;NULL;0;82
21088;19150;1.tammi;0;16045;NULL;0;66
21089;19151;1-0;0;16045;NULL;0;44
21090;19151;2.tammi;1;16045;NULL;0;69
21091;19152;1-0;1;15035;NULL;0;67
21092;19152;2-0;0;16041;NULL;0;90
21093;19154;0-1;1;16051;NULL;0;3
21094;19154;0-2;0;16042;NULL;0;95
21095;19155;1-0;0;16045;NULL;0;6
21096;19156;1-0;1;16048;NULL;0;61
21097;19156;2-0;0;1019;NULL;0;64
21098;19157;1.tammi;0;16048;NULL;0;53
21099;19158;1-0;1;1;NULL;0;43
21100;19158;2-0;0;16043;NULL;0;92
21101;19159;1-0;1;16048;NULL;0;23
21102;19159;2-0;0;16043;NULL;0;80
21103;19159;3-0;0;16043;NULL;0;85
21104;19160;0-1;1;16046;NULL;0;68
21105;19160;0-2;0;16048;NULL;0;75
21106;19160;0-3;0;15030;NULL;0;95
21107;19161;1-0;0;16048;NULL;0;52
21108;19167;1-0;1;15035;NULL;0;10
21109;19167;2-0;0;16045;NULL;0;16
21110;19175;0-1;1;16048;NULL;0;83
21111;19174;1.tammi;0;16048;NULL;0;14
21112;19174;2.tammi;1;16045;NULL;0;14
21113;19162;1-0;0;16048;NULL;0;14
21114;19162;2.tammi;0;16048;NULL;0;40
21115;19163;1.tammi;0;16045;NULL;0;44
21116;19164;1.tammi;0;15035;NULL;0;48
21117;19164;2.helmi;0;15023;NULL;0;93
21118;19165;1.tammi;0;15035;NULL;0;65
21119;19165;2.tammi;0;16048;NULL;0;94
21120;19166;0-1;0;16045;NULL;0;28
21121;19166;0-2;1;1011;NULL;0;64
21122;19166;0-3;0;16044;NULL;0;71
21123;19168;2.tammi;0;1011;NULL;0;60
21124;19170;1-0;1;1011;NULL;0;9
21125;19170;2-0;0;16048;NULL;0;29
21126;19170;3-0;0;16046;NULL;0;50
21127;19171;0-1;1;16048;NULL;0;58
21128;19171;0-2;0;1011;NULL;0;82
21129;19171;0-3;0;16045;NULL;0;93
21130;19172;0-1;1;16045;NULL;0;74
21131;19172;0-2;0;1011;NULL;0;83
21132;19173;1-0;1;1;NULL;0;21
21135;11054;0-1;1;1020;NULL;0;12
21137;9062;1-0;0;1020;11023;0;13
21138;9062;2-0;0;12023;NULL;0;18
21139;9062;3.tammi;0;2022;NULL;1;29
21140;9062;4.maalis;1;17040;2022;0;89
21141;9064;1-0;0;11024;1020;0;10
21142;9064;2-0;0;18040;1010;0;39
21143;9066;2.tammi;0;1021;NULL;0;53
21144;9066;3.helmi;0;11024;12023;0;93
21145;9067;1-0;0;1020;11024;0;37
22145;21156;3.tammi;0;1005;11023;0;90
22146;21156;3.helmi;0;11024;NULL;1;94
23145;11055;1-0;0;1020;11023;0;53
24145;22157;1-0;1;15036;1;0;48
24146;24157;1.tammi;0;1011;2022;0;80
